document_id,project_id,document_type,document_date,amount,contractor,location,file_path,extracted_text,status
DOC00222,P00222,Utilization Certificate,2025-10-04,537000.0,Contractor_052,"Coimbatore, Tamil Nadu",,"Document for project P00222. Type: Utilization Certificate. Amount: 537000.0. Contractor: Contractor_052. Location: Coimbatore, Tamil Nadu.",In Progress
DOC00223,P00223,Completion Certificate,2025-07-12,1858000.0,Contractor_051,"Darjeeling, West Bengal",,"Document for project P00223. Type: Completion Certificate. Amount: 1858000.0. Contractor: Contractor_051. Location: Darjeeling, West Bengal.",In Progress
DOC00224,P00224,Inspection Report,2025-07-31,252000.0,Contractor_044,"Rajkot, Gujarat",,"Document for project P00224. Type: Inspection Report. Amount: 252000.0. Contractor: Contractor_044. Location: Rajkot, Gujarat.",Delayed
DOC00225,P00225,Sanction Letter,2025-09-06,1083000.0,Contractor_060,"Kota, Rajasthan",,"Document for project P00225. Type: Sanction Letter. Amount: 1083000.0. Contractor: Contractor_060. Location: Kota, Rajasthan.",Delayed
DOC00226,P00226,Utilization Certificate,2024-10-14,3736000.0,Different Contractor,"Ahmedabad, Gujarat",,"Document for project P00226. Type: Utilization Certificate. Amount: 3736000.0. Contractor: Different Contractor. Location: Ahmedabad, Gujarat.",In Progress
DOC00227,P00227,Completion Certificate,2026-01-21,1518000.0,Contractor_030,"Rajkot, Gujarat",,"Document for project P00227. Type: Completion Certificate. Amount: 1518000.0. Contractor: Contractor_030. Location: Rajkot, Gujarat.",In Progress
DOC00228,P00228,Inspection Report,2024-02-15,3126000.0,Contractor_043,"Howrah, West Bengal",,"Document for project P00228. Type: Inspection Report. Amount: 3126000.0. Contractor: Contractor_043. Location: Howrah, West Bengal.",In Progress
DOC00229,P00229,Sanction Letter,2024-05-03,10625000.0,Contractor_027,"Aurangabad, Maharashtra",,"Document for project P00229. Type: Sanction Letter. Amount: 10625000.0. Contractor: Contractor_027. Location: Aurangabad, Maharashtra.",In Progress
DOC00230,P00230,Utilization Certificate,2026-02-06,746000.0,Contractor_011,"Rajkot, Gujarat",,"Document for project P00230. Type: Utilization Certificate. Amount: 746000.0. Contractor: Contractor_011. Location: Rajkot, Gujarat.",Delayed
DOC00231,P00231,Completion Certificate,2024-01-11,1968000.0,Contractor_027,"Krishna, Andhra Pradesh",,"Document for project P00231. Type: Completion Certificate. Amount: 1968000.0. Contractor: Contractor_027. Location: Krishna, Andhra Pradesh.",In Progress
DOC00232,P00232,Inspection Report,2024-09-06,1511000.0,Contractor_016,"Cuttack, Odisha",,"Document for project P00232. Type: Inspection Report. Amount: 1511000.0. Contractor: Contractor_016. Location: Cuttack, Odisha.",Delayed
DOC00233,P00233,Sanction Letter,2025-06-09,3059000.0,Contractor_005,"Jaipur, Rajasthan",,"Document for project P00233. Type: Sanction Letter. Amount: 3059000.0. Contractor: Contractor_005. Location: Jaipur, Rajasthan.",In Progress
DOC00234,P00234,Utilization Certificate,2025-04-18,1048000.0,Contractor_023,"Pune, Maharashtra",,"Document for project P00234. Type: Utilization Certificate. Amount: 1048000.0. Contractor: Contractor_023. Location: Pune, Maharashtra.",Delayed
DOC00235,P00235,Completion Certificate,2024-03-06,874000.0,Contractor_039,"Dharwad, Karnataka",,"Document for project P00235. Type: Completion Certificate. Amount: 874000.0. Contractor: Contractor_039. Location: Dharwad, Karnataka.",Delayed
DOC00236,P00236,Inspection Report,2024-04-15,487000.0,Contractor_032,"Darjeeling, West Bengal",,"Document for project P00236. Type: Inspection Report. Amount: 487000.0. Contractor: Contractor_032. Location: Darjeeling, West Bengal.",In Progress
DOC00237,P00237,Sanction Letter,2024-01-27,280000.0,Contractor_019,"Malda, West Bengal",,"Document for project P00237. Type: Sanction Letter. Amount: 280000.0. Contractor: Contractor_019. Location: Malda, West Bengal.",In Progress
DOC00238,P00238,Utilization Certificate,2025-02-24,1157000.0,Contractor_055,"Warangal, Telangana",,"Document for project P00238. Type: Utilization Certificate. Amount: 1157000.0. Contractor: Contractor_055. Location: Warangal, Telangana.",Completed
DOC00239,P00239,Completion Certificate,2025-04-21,483000.0,Contractor_012,"Krishna, Andhra Pradesh",,"Document for project P00239. Type: Completion Certificate. Amount: 483000.0. Contractor: Contractor_012. Location: Krishna, Andhra Pradesh.",Delayed
DOC00240,P00240,Inspection Report,2024-06-26,823000.0,Contractor_021,"Mysuru, Karnataka",,"Document for project P00240. Type: Inspection Report. Amount: 823000.0. Contractor: Contractor_021. Location: Mysuru, Karnataka.",In Progress
DOC00241,P00241,Sanction Letter,2025-07-18,2398000.0,Contractor_025,"Rajkot, Gujarat",,"Document for project P00241. Type: Sanction Letter. Amount: 2398000.0. Contractor: Contractor_025. Location: Rajkot, Gujarat.",In Progress
DOC00242,P00242,Utilization Certificate,2024-07-10,3083000.0,Contractor_045,"Ernakulam, Kerala",,"Document for project P00242. Type: Utilization Certificate. Amount: 3083000.0. Contractor: Contractor_045. Location: Ernakulam, Kerala.",In Progress
DOC00243,P00243,Completion Certificate,2025-06-06,747000.0,Contractor_004,"Nagpur, Maharashtra",,"Document for project P00243. Type: Completion Certificate. Amount: 747000.0. Contractor: Contractor_004. Location: Nagpur, Maharashtra.",In Progress
DOC00244,P00244,Inspection Report,2025-12-26,356000.0,Contractor_010,"Sambalpur, Odisha",,"Document for project P00244. Type: Inspection Report. Amount: 356000.0. Contractor: Contractor_010. Location: Sambalpur, Odisha.",In Progress
DOC00245,P00245,Sanction Letter,2026-01-14,2804000.0,Contractor_041,"Nagpur, Maharashtra",,"Document for project P00245. Type: Sanction Letter. Amount: 2804000.0. Contractor: Contractor_041. Location: Nagpur, Maharashtra.",In Progress
DOC00246,P00246,Utilization Certificate,2025-11-21,2418000.0,Contractor_019,"Warangal, Telangana",,"Document for project P00246. Type: Utilization Certificate. Amount: 2418000.0. Contractor: Contractor_019. Location: Warangal, Telangana.",In Progress
DOC00247,P00247,Completion Certificate,2026-01-01,965000.0,Contractor_041,"Jaipur, Rajasthan",,"Document for project P00247. Type: Completion Certificate. Amount: 965000.0. Contractor: Contractor_041. Location: Jaipur, Rajasthan.",In Progress
DOC00248,P00248,Inspection Report,2025-09-21,3076000.0,Contractor_034,"Chennai, Tamil Nadu",,"Document for project P00248. Type: Inspection Report. Amount: 3076000.0. Contractor: Contractor_034. Location: Chennai, Tamil Nadu.",In Progress
DOC00249,P00249,Sanction Letter,2024-06-03,2278000.0,Contractor_029,"Kozhikode, Kerala",,"Document for project P00249. Type: Sanction Letter. Amount: 2278000.0. Contractor: Contractor_029. Location: Kozhikode, Kerala.",Delayed
DOC00250,P00250,Utilization Certificate,2024-06-07,1688000.0,Contractor_055,"Guntur, Andhra Pradesh",,"Document for project P00250. Type: Utilization Certificate. Amount: 1688000.0. Contractor: Contractor_055. Location: Guntur, Andhra Pradesh.",Completed
DOC00251,P00251,Completion Certificate,2025-07-27,905000.0,Contractor_006,"Thrissur, Kerala",,"Document for project P00251. Type: Completion Certificate. Amount: 905000.0. Contractor: Contractor_006. Location: Thrissur, Kerala.",In Progress
DOC00252,P00252,Inspection Report,2026-04-22,15857000.0,Contractor_007,"Karimnagar, Telangana",,"Document for project P00252. Type: Inspection Report. Amount: 15857000.0. Contractor: Contractor_007. Location: Karimnagar, Telangana.",In Progress
DOC00253,P00253,Sanction Letter,2024-04-09,592000.0,Contractor_028,"Ernakulam, Kerala",,"Document for project P00253. Type: Sanction Letter. Amount: 592000.0. Contractor: Contractor_028. Location: Ernakulam, Kerala.",Completed
DOC00254,P00254,Utilization Certificate,2024-03-04,1182000.0,Contractor_021,"Kollam, Kerala",,"Document for project P00254. Type: Utilization Certificate. Amount: 1182000.0. Contractor: Contractor_021. Location: Kollam, Kerala.",Completed
DOC00255,P00255,Completion Certificate,2024-02-22,317000.0,Contractor_013,"Warangal, Telangana",,"Document for project P00255. Type: Completion Certificate. Amount: 317000.0. Contractor: Contractor_013. Location: Warangal, Telangana.",Delayed
DOC00256,P00256,Inspection Report,2024-02-03,835000.0,Contractor_037,"Belagavi, Karnataka",,"Document for project P00256. Type: Inspection Report. Amount: 835000.0. Contractor: Contractor_037. Location: Belagavi, Karnataka.",In Progress
DOC00257,P00257,Sanction Letter,2026-04-13,1577000.0,Contractor_013,"Kota, Rajasthan",,"Document for project P00257. Type: Sanction Letter. Amount: 1577000.0. Contractor: Contractor_013. Location: Kota, Rajasthan.",Delayed
DOC00258,P00258,Utilization Certificate,2025-06-30,1981000.0,Contractor_046,"Darjeeling, West Bengal",,"Document for project P00258. Type: Utilization Certificate. Amount: 1981000.0. Contractor: Contractor_046. Location: Darjeeling, West Bengal.",Completed
DOC00259,P00259,Completion Certificate,2024-07-16,591000.0,Contractor_017,"Nashik, Maharashtra",,"Document for project P00259. Type: Completion Certificate. Amount: 591000.0. Contractor: Contractor_017. Location: Nashik, Maharashtra.",In Progress
DOC00260,P00260,Inspection Report,2025-01-01,1830000.0,Contractor_051,"Madurai, Tamil Nadu",,"Document for project P00260. Type: Inspection Report. Amount: 1830000.0. Contractor: Contractor_051. Location: Madurai, Tamil Nadu.",In Progress
DOC00261,P00261,Sanction Letter,2026-03-02,283000.0,Contractor_009,"Ganjam, Odisha",,"Document for project P00261. Type: Sanction Letter. Amount: 283000.0. Contractor: Contractor_009. Location: Ganjam, Odisha.",In Progress
DOC00262,P00262,Utilization Certificate,2024-01-01,5078000.0,Contractor_024,"Nashik, Maharashtra",,"Document for project P00262. Type: Utilization Certificate. Amount: 5078000.0. Contractor: Contractor_024. Location: Nashik, Maharashtra.",In Progress
DOC00263,P00263,Completion Certificate,2024-05-04,2399000.0,Contractor_034,"Kolkata, West Bengal",,"Document for project P00263. Type: Completion Certificate. Amount: 2399000.0. Contractor: Contractor_034. Location: Kolkata, West Bengal.",In Progress
DOC00264,P00264,Inspection Report,2026-03-02,614000.0,Contractor_037,"Krishna, Andhra Pradesh",,"Document for project P00264. Type: Inspection Report. Amount: 614000.0. Contractor: Contractor_037. Location: Krishna, Andhra Pradesh.",In Progress
DOC00265,P00265,Sanction Letter,2025-03-29,1170000.0,Contractor_034,"Jaipur, Rajasthan",,"Document for project P00265. Type: Sanction Letter. Amount: 1170000.0. Contractor: Contractor_034. Location: Jaipur, Rajasthan.",In Progress
DOC00266,P00266,Utilization Certificate,2025-07-27,760000.0,Contractor_055,"Jaipur, Rajasthan",,"Document for project P00266. Type: Utilization Certificate. Amount: 760000.0. Contractor: Contractor_055. Location: Jaipur, Rajasthan.",In Progress
DOC00267,P00267,Completion Certificate,2025-07-20,797000.0,Contractor_060,"Malda, West Bengal",,"Document for project P00267. Type: Completion Certificate. Amount: 797000.0. Contractor: Contractor_060. Location: Malda, West Bengal.",In Progress
DOC00268,P00268,Inspection Report,2024-12-21,2089000.0,Contractor_048,"Cuttack, Odisha",,"Document for project P00268. Type: Inspection Report. Amount: 2089000.0. Contractor: Contractor_048. Location: Cuttack, Odisha.",Completed
DOC00269,P00269,Sanction Letter,2024-05-13,198000.0,Contractor_056,"Krishna, Andhra Pradesh",,"Document for project P00269. Type: Sanction Letter. Amount: 198000.0. Contractor: Contractor_056. Location: Krishna, Andhra Pradesh.",In Progress
DOC00270,P00270,Utilization Certificate,2024-08-28,2073000.0,Contractor_012,"Nagpur, Maharashtra",,"Document for project P00270. Type: Utilization Certificate. Amount: 2073000.0. Contractor: Contractor_012. Location: Nagpur, Maharashtra.",Delayed
DOC00271,P00271,Completion Certificate,2025-08-31,3821000.0,Contractor_058,"Ganjam, Odisha",,"Document for project P00271. Type: Completion Certificate. Amount: 3821000.0. Contractor: Contractor_058. Location: Ganjam, Odisha.",Delayed
DOC00272,P00272,Inspection Report,2025-06-02,4654000.0,Contractor_052,"Ahmedabad, Gujarat",,"Document for project P00272. Type: Inspection Report. Amount: 4654000.0. Contractor: Contractor_052. Location: Ahmedabad, Gujarat.",In Progress
DOC00273,P00273,Sanction Letter,2025-12-05,294000.0,Contractor_046,"Kolkata, West Bengal",,"Document for project P00273. Type: Sanction Letter. Amount: 294000.0. Contractor: Contractor_046. Location: Kolkata, West Bengal.",In Progress
DOC00274,P00274,Utilization Certificate,2026-01-25,2839000.0,Contractor_031,"Mysuru, Karnataka",,"Document for project P00274. Type: Utilization Certificate. Amount: 2839000.0. Contractor: Contractor_031. Location: Mysuru, Karnataka.",In Progress
DOC00275,P00275,Completion Certificate,2025-02-07,681000.0,Contractor_023,"Nashik, Maharashtra",,"Document for project P00275. Type: Completion Certificate. Amount: 681000.0. Contractor: Contractor_023. Location: Nashik, Maharashtra.",In Progress
DOC00276,P00276,Inspection Report,2024-07-14,3369000.0,Contractor_041,"Nagpur, Maharashtra",,"Document for project P00276. Type: Inspection Report. Amount: 3369000.0. Contractor: Contractor_041. Location: Nagpur, Maharashtra.",Completed
DOC00277,P00277,Sanction Letter,2025-09-29,2974000.0,Contractor_002,"Coimbatore, Tamil Nadu",,"Document for project P00277. Type: Sanction Letter. Amount: 2974000.0. Contractor: Contractor_002. Location: Coimbatore, Tamil Nadu.",In Progress
DOC00278,P00278,Utilization Certificate,2025-02-25,1311000.0,Contractor_020,"Ganjam, Odisha",,"Document for project P00278. Type: Utilization Certificate. Amount: 1311000.0. Contractor: Contractor_020. Location: Ganjam, Odisha.",Completed
DOC00279,P00279,Completion Certificate,2024-12-14,860000.0,Contractor_001,"Warangal, Telangana",,"Document for project P00279. Type: Completion Certificate. Amount: 860000.0. Contractor: Contractor_001. Location: Warangal, Telangana.",In Progress
DOC00280,P00280,Inspection Report,2025-06-03,9105000.0,Contractor_056,"Cuttack, Odisha",,"Document for project P00280. Type: Inspection Report. Amount: 9105000.0. Contractor: Contractor_056. Location: Cuttack, Odisha.",In Progress
DOC00281,P00281,Sanction Letter,2025-04-09,3116000.0,Contractor_020,"Coimbatore, Tamil Nadu",,"Document for project P00281. Type: Sanction Letter. Amount: 3116000.0. Contractor: Contractor_020. Location: Coimbatore, Tamil Nadu.",Delayed
DOC00282,P00282,Utilization Certificate,2024-05-24,3339000.0,Contractor_027,"Cuttack, Odisha",,"Document for project P00282. Type: Utilization Certificate. Amount: 3339000.0. Contractor: Contractor_027. Location: Cuttack, Odisha.",Delayed
DOC00283,P00283,Completion Certificate,2024-09-13,1837000.0,Contractor_060,"Karimnagar, Telangana",,"Document for project P00283. Type: Completion Certificate. Amount: 1837000.0. Contractor: Contractor_060. Location: Karimnagar, Telangana.",In Progress
DOC00284,P00284,Inspection Report,2024-10-09,1103000.0,Contractor_008,"Khordha, Odisha",,"Document for project P00284. Type: Inspection Report. Amount: 1103000.0. Contractor: Contractor_008. Location: Khordha, Odisha.",In Progress
DOC00285,P00285,Sanction Letter,2024-03-24,494000.0,Contractor_036,"Dharwad, Karnataka",,"Document for project P00285. Type: Sanction Letter. Amount: 494000.0. Contractor: Contractor_036. Location: Dharwad, Karnataka.",In Progress
DOC00286,P00286,Utilization Certificate,2024-02-24,1043000.0,Contractor_019,"Salem, Tamil Nadu",,"Document for project P00286. Type: Utilization Certificate. Amount: 1043000.0. Contractor: Contractor_019. Location: Salem, Tamil Nadu.",In Progress
DOC00287,P00287,Completion Certificate,2024-06-07,1160000.0,Contractor_004,"Jaipur, Rajasthan",,"Document for project P00287. Type: Completion Certificate. Amount: 1160000.0. Contractor: Contractor_004. Location: Jaipur, Rajasthan.",In Progress
DOC00288,P00288,Inspection Report,2025-08-10,642000.0,Contractor_029,"Nizamabad, Telangana",,"Document for project P00288. Type: Inspection Report. Amount: 642000.0. Contractor: Contractor_029. Location: Nizamabad, Telangana.",Delayed
DOC00289,P00289,Sanction Letter,2026-01-06,884000.0,Contractor_060,"Pune, Maharashtra",,"Document for project P00289. Type: Sanction Letter. Amount: 884000.0. Contractor: Contractor_060. Location: Pune, Maharashtra.",In Progress
DOC00290,P00290,Utilization Certificate,2026-01-04,1055000.0,Contractor_016,"Vadodara, Gujarat",,"Document for project P00290. Type: Utilization Certificate. Amount: 1055000.0. Contractor: Contractor_016. Location: Vadodara, Gujarat.",In Progress
DOC00291,P00291,Completion Certificate,2024-05-11,2110000.0,Contractor_015,"Ernakulam, Kerala",,"Document for project P00291. Type: Completion Certificate. Amount: 2110000.0. Contractor: Contractor_015. Location: Ernakulam, Kerala.",In Progress
DOC00292,P00292,Inspection Report,2024-03-22,1299000.0,Contractor_005,"Bengaluru Urban, Karnataka",,"Document for project P00292. Type: Inspection Report. Amount: 1299000.0. Contractor: Contractor_005. Location: Bengaluru Urban, Karnataka.",Delayed
DOC00293,P00293,Sanction Letter,2025-11-21,1705000.0,Contractor_011,"Jodhpur, Rajasthan",,"Document for project P00293. Type: Sanction Letter. Amount: 1705000.0. Contractor: Contractor_011. Location: Jodhpur, Rajasthan.",In Progress
DOC00294,P00294,Utilization Certificate,2025-03-16,636000.0,Contractor_057,"Bengaluru Urban, Karnataka",,"Document for project P00294. Type: Utilization Certificate. Amount: 636000.0. Contractor: Contractor_057. Location: Bengaluru Urban, Karnataka.",In Progress
DOC00295,P00295,Completion Certificate,2024-09-11,1168000.0,Contractor_025,"Malda, West Bengal",,"Document for project P00295. Type: Completion Certificate. Amount: 1168000.0. Contractor: Contractor_025. Location: Malda, West Bengal.",In Progress
DOC00296,P00296,Inspection Report,2024-02-01,727000.0,Contractor_046,"Surat, Gujarat",,"Document for project P00296. Type: Inspection Report. Amount: 727000.0. Contractor: Contractor_046. Location: Surat, Gujarat.",In Progress
DOC00297,P00297,Sanction Letter,2024-07-12,499000.0,Contractor_035,"Jodhpur, Rajasthan",,"Document for project P00297. Type: Sanction Letter. Amount: 499000.0. Contractor: Contractor_035. Location: Jodhpur, Rajasthan.",In Progress
DOC00298,P00298,Utilization Certificate,2025-02-14,2713000.0,Contractor_051,"Kollam, Kerala",,"Document for project P00298. Type: Utilization Certificate. Amount: 2713000.0. Contractor: Contractor_051. Location: Kollam, Kerala.",Delayed
DOC00299,P00299,Completion Certificate,2024-12-23,744000.0,Contractor_023,"Nizamabad, Telangana",,"Document for project P00299. Type: Completion Certificate. Amount: 744000.0. Contractor: Contractor_023. Location: Nizamabad, Telangana.",Delayed
DOC00300,P00300,Inspection Report,2025-02-11,366000.0,Contractor_013,"Surat, Gujarat",,"Document for project P00300. Type: Inspection Report. Amount: 366000.0. Contractor: Contractor_013. Location: Surat, Gujarat.",In Progress
DOC00301,P00301,Sanction Letter,2024-03-01,4130000.0,Different Contractor,Different Location,,Document for project P00301. Type: Sanction Letter. Amount: 4130000.0. Contractor: Different Contractor. Location: Different Location.,In Progress
DOC00302,P00302,Utilization Certificate,2024-01-11,1269000.0,Contractor_035,"Howrah, West Bengal",,"Document for project P00302. Type: Utilization Certificate. Amount: 1269000.0. Contractor: Contractor_035. Location: Howrah, West Bengal.",In Progress
DOC00303,P00303,Completion Certificate,2024-08-21,364000.0,Contractor_012,"Karimnagar, Telangana",,"Document for project P00303. Type: Completion Certificate. Amount: 364000.0. Contractor: Contractor_012. Location: Karimnagar, Telangana.",Completed
DOC00304,P00304,Inspection Report,2024-05-13,929000.0,Contractor_032,"Malda, West Bengal",,"Document for project P00304. Type: Inspection Report. Amount: 929000.0. Contractor: Contractor_032. Location: Malda, West Bengal.",In Progress
DOC00305,P00305,Sanction Letter,2024-10-06,1232000.0,Contractor_017,"Jaipur, Rajasthan",,"Document for project P00305. Type: Sanction Letter. Amount: 1232000.0. Contractor: Contractor_017. Location: Jaipur, Rajasthan.",In Progress
DOC00306,P00306,Utilization Certificate,2024-09-24,914000.0,Contractor_001,"Udaipur, Rajasthan",,"Document for project P00306. Type: Utilization Certificate. Amount: 914000.0. Contractor: Contractor_001. Location: Udaipur, Rajasthan.",In Progress
DOC00307,P00307,Completion Certificate,2024-12-26,1001000.0,Contractor_032,"Nashik, Maharashtra",,"Document for project P00307. Type: Completion Certificate. Amount: 1001000.0. Contractor: Contractor_032. Location: Nashik, Maharashtra.",Completed
DOC00308,P00308,Inspection Report,2025-04-11,1745000.0,Contractor_055,"Thrissur, Kerala",,"Document for project P00308. Type: Inspection Report. Amount: 1745000.0. Contractor: Contractor_055. Location: Thrissur, Kerala.",In Progress
DOC00309,P00309,Sanction Letter,2024-04-03,3171000.0,Contractor_025,"Jaipur, Rajasthan",,"Document for project P00309. Type: Sanction Letter. Amount: 3171000.0. Contractor: Contractor_025. Location: Jaipur, Rajasthan.",In Progress
DOC00310,P00310,Utilization Certificate,2025-03-06,700000.0,Contractor_004,"Nagpur, Maharashtra",,"Document for project P00310. Type: Utilization Certificate. Amount: 700000.0. Contractor: Contractor_004. Location: Nagpur, Maharashtra.",In Progress
DOC00311,P00311,Completion Certificate,2025-12-23,1749000.0,Contractor_042,"Kolkata, West Bengal",,"Document for project P00311. Type: Completion Certificate. Amount: 1749000.0. Contractor: Contractor_042. Location: Kolkata, West Bengal.",In Progress
DOC00312,P00312,Inspection Report,2025-04-23,1919000.0,Contractor_019,"Salem, Tamil Nadu",,"Document for project P00312. Type: Inspection Report. Amount: 1919000.0. Contractor: Contractor_019. Location: Salem, Tamil Nadu.",In Progress
DOC00313,P00313,Sanction Letter,2024-02-04,1110000.0,Contractor_049,"Kolkata, West Bengal",,"Document for project P00313. Type: Sanction Letter. Amount: 1110000.0. Contractor: Contractor_049. Location: Kolkata, West Bengal.",In Progress
DOC00314,P00314,Utilization Certificate,2024-01-30,1696000.0,Contractor_021,"Khordha, Odisha",,"Document for project P00314. Type: Utilization Certificate. Amount: 1696000.0. Contractor: Contractor_021. Location: Khordha, Odisha.",In Progress
DOC00315,P00315,Completion Certificate,2025-09-30,2391000.0,Contractor_029,"Nagpur, Maharashtra",,"Document for project P00315. Type: Completion Certificate. Amount: 2391000.0. Contractor: Contractor_029. Location: Nagpur, Maharashtra.",In Progress
DOC00316,P00316,Inspection Report,2025-01-02,1064000.0,Contractor_033,"Nashik, Maharashtra",,"Document for project P00316. Type: Inspection Report. Amount: 1064000.0. Contractor: Contractor_033. Location: Nashik, Maharashtra.",Delayed
DOC00317,P00317,Sanction Letter,2025-07-28,3128000.0,Contractor_045,"Visakhapatnam, Andhra Pradesh",,"Document for project P00317. Type: Sanction Letter. Amount: 3128000.0. Contractor: Contractor_045. Location: Visakhapatnam, Andhra Pradesh.",In Progress
DOC00318,P00318,Utilization Certificate,2025-12-27,1689000.0,Contractor_037,"Nagpur, Maharashtra",,"Document for project P00318. Type: Utilization Certificate. Amount: 1689000.0. Contractor: Contractor_037. Location: Nagpur, Maharashtra.",In Progress
DOC00319,P00319,Completion Certificate,2026-03-26,1905000.0,Contractor_049,"Coimbatore, Tamil Nadu",,"Document for project P00319. Type: Completion Certificate. Amount: 1905000.0. Contractor: Contractor_049. Location: Coimbatore, Tamil Nadu.",Completed
DOC00320,P00320,Inspection Report,2026-01-08,311000.0,Contractor_030,"Thrissur, Kerala",,"Document for project P00320. Type: Inspection Report. Amount: 311000.0. Contractor: Contractor_030. Location: Thrissur, Kerala.",In Progress
DOC00321,P00321,Sanction Letter,2025-02-06,938000.0,Contractor_044,"Ahmedabad, Gujarat",,"Document for project P00321. Type: Sanction Letter. Amount: 938000.0. Contractor: Contractor_044. Location: Ahmedabad, Gujarat.",In Progress
DOC00322,P00322,Utilization Certificate,2024-07-10,884000.0,Contractor_017,"Kollam, Kerala",,"Document for project P00322. Type: Utilization Certificate. Amount: 884000.0. Contractor: Contractor_017. Location: Kollam, Kerala.",In Progress
DOC00323,P00323,Completion Certificate,2024-09-05,3945000.0,Contractor_054,"Visakhapatnam, Andhra Pradesh",,"Document for project P00323. Type: Completion Certificate. Amount: 3945000.0. Contractor: Contractor_054. Location: Visakhapatnam, Andhra Pradesh.",Delayed
DOC00324,P00324,Inspection Report,2025-11-21,2748000.0,Contractor_017,"Dharwad, Karnataka",,"Document for project P00324. Type: Inspection Report. Amount: 2748000.0. Contractor: Contractor_017. Location: Dharwad, Karnataka.",In Progress
DOC00325,P00325,Sanction Letter,2025-11-28,1209000.0,Contractor_054,"Kozhikode, Kerala",,"Document for project P00325. Type: Sanction Letter. Amount: 1209000.0. Contractor: Contractor_054. Location: Kozhikode, Kerala.",Completed
DOC00326,P00326,Utilization Certificate,2025-02-15,1714000.0,Contractor_035,"Surat, Gujarat",,"Document for project P00326. Type: Utilization Certificate. Amount: 1714000.0. Contractor: Contractor_035. Location: Surat, Gujarat.",In Progress
DOC00327,P00327,Completion Certificate,2026-03-19,1572000.0,Contractor_015,"Malda, West Bengal",,"Document for project P00327. Type: Completion Certificate. Amount: 1572000.0. Contractor: Contractor_015. Location: Malda, West Bengal.",In Progress
DOC00328,P00328,Inspection Report,2024-07-10,1895000.0,Contractor_051,"Khordha, Odisha",,"Document for project P00328. Type: Inspection Report. Amount: 1895000.0. Contractor: Contractor_051. Location: Khordha, Odisha.",In Progress
DOC00329,P00329,Sanction Letter,2025-06-12,599000.0,Contractor_009,"Dharwad, Karnataka",,"Document for project P00329. Type: Sanction Letter. Amount: 599000.0. Contractor: Contractor_009. Location: Dharwad, Karnataka.",In Progress
DOC00330,P00330,Utilization Certificate,2026-03-31,15306000.0,Contractor_039,"Bengaluru Urban, Karnataka",,"Document for project P00330. Type: Utilization Certificate. Amount: 15306000.0. Contractor: Contractor_039. Location: Bengaluru Urban, Karnataka.",In Progress
DOC00331,P00331,Completion Certificate,2025-11-24,681000.0,Contractor_057,"Kolkata, West Bengal",,"Document for project P00331. Type: Completion Certificate. Amount: 681000.0. Contractor: Contractor_057. Location: Kolkata, West Bengal.",Delayed
DOC00332,P00332,Inspection Report,2024-06-21,667000.0,Contractor_029,"Surat, Gujarat",,"Document for project P00332. Type: Inspection Report. Amount: 667000.0. Contractor: Contractor_029. Location: Surat, Gujarat.",Delayed
DOC00333,P00333,Sanction Letter,2024-07-23,1457000.0,Contractor_003,"Belagavi, Karnataka",,"Document for project P00333. Type: Sanction Letter. Amount: 1457000.0. Contractor: Contractor_003. Location: Belagavi, Karnataka.",Delayed
DOC00334,P00334,Utilization Certificate,2026-01-16,1622000.0,Contractor_006,"Rajkot, Gujarat",,"Document for project P00334. Type: Utilization Certificate. Amount: 1622000.0. Contractor: Contractor_006. Location: Rajkot, Gujarat.",In Progress
DOC00335,P00335,Completion Certificate,2024-10-22,914000.0,Contractor_060,"Kolkata, West Bengal",,"Document for project P00335. Type: Completion Certificate. Amount: 914000.0. Contractor: Contractor_060. Location: Kolkata, West Bengal.",Delayed
DOC00336,P00336,Inspection Report,2024-02-10,228000.0,Contractor_046,"Mysuru, Karnataka",,"Document for project P00336. Type: Inspection Report. Amount: 228000.0. Contractor: Contractor_046. Location: Mysuru, Karnataka.",Delayed
DOC00337,P00337,Sanction Letter,2025-01-08,3190000.0,Contractor_025,"Belagavi, Karnataka",,"Document for project P00337. Type: Sanction Letter. Amount: 3190000.0. Contractor: Contractor_025. Location: Belagavi, Karnataka.",In Progress
DOC00338,P00338,Utilization Certificate,2025-02-07,455000.0,Contractor_034,"Kota, Rajasthan",,"Document for project P00338. Type: Utilization Certificate. Amount: 455000.0. Contractor: Contractor_034. Location: Kota, Rajasthan.",In Progress
DOC00339,P00339,Completion Certificate,2026-03-06,1870000.0,Contractor_048,"Tirupati, Andhra Pradesh",,"Document for project P00339. Type: Completion Certificate. Amount: 1870000.0. Contractor: Contractor_048. Location: Tirupati, Andhra Pradesh.",Completed
DOC00340,P00340,Inspection Report,2024-06-09,1726000.0,Contractor_052,"Khordha, Odisha",,"Document for project P00340. Type: Inspection Report. Amount: 1726000.0. Contractor: Contractor_052. Location: Khordha, Odisha.",Completed
DOC00341,P00341,Sanction Letter,2025-01-18,1259000.0,Contractor_029,"Darjeeling, West Bengal",,"Document for project P00341. Type: Sanction Letter. Amount: 1259000.0. Contractor: Contractor_029. Location: Darjeeling, West Bengal.",In Progress
